W_top,W_bot,tsi,Vg
32.61,36.23,42.05,13.24
108.37,225.29,21.85,22.48
24.46,113.33,19.01,21.56
2.27,106.65,22.95,31.95
112.31,184.45,32.77,23.65
135.02,139.19,39.08,27.5
62.65,96.75,45.09,36.12
13.32,53.74,31.84,24.44
10.44,106.98,27.99,13.92
3.19,26.19,45.31,35.8
0.53,104.02,38.14,25.09
147.64,168.04,42.26,20.28
43.93,90.92,35.38,3.66
16.69,110.04,29.96,10.27
95.71,180.76,28.34,23.77
18.55,36.83,29.6,15.34
10.01,15.05,16.93,32.57
8.92,68.42,10.57,4.83
65.54,112.83,35.04,13.58
16.35,75.06,15.76,8.13
39.19,116.89,10.33,11.95
38.68,80.4,37.14,24.32
32.61,102.76,41.45,26.59
106.5,114.29,36.17,4.23
30.4,44.64,47.34,21.34
75.99,96.73,27.12,38.83
35.41,150.37,40.24,6.98
106.16,249.55,40.28,4.7
71.37,74.18,38.81,11.88
68.76,84.8,25.13,32.65
15.67,99.01,39.25,35.81
72.14,75.82,14.99,17.9
45.87,97.59,49.87,26.33
79.23,136.31,22.15,23.82
90.67,141.77,27.31,0.84
42.04,49.28,18.19,37.77
128.13,186.88,16.73,18
84.51,169.23,35.65,0.3
36.71,96.41,20.75,37.21
46.22,172.69,37.03,7.69
103.12,151.62,29.28,10.67
23.48,163.42,37.62,23.3
4.15,49.54,18.2,28.07
3.04,171.59,22.64,17.16
101.12,130.87,17.37,9.99
66.27,74.43,23.11,31.05
68.68,125.07,21.7,9.37
10.01,30.16,26.09,10.04
227.26,245.83,37.11,3.83
196.31,214.68,47.1,13.6
100.27,175.43,49.47,8.84
100.05,222.77,20.34,14.4
48.75,234.27,41,35.54
83.94,222.32,25.68,24.14
151.34,228.44,43.11,11.75
153.82,244.93,48.3,14
16.85,83.87,20,28.71
104.05,206.31,31.27,38.43
110.42,155.01,45.64,8.17
145.27,227.51,13.69,0.58
136.2,234.86,49.43,15.43
81.7,125.77,29.37,9.57
13.43,78.19,46.64,34.96
131.64,244.39,34.6,36.62
133.72,173.4,48.03,7.9
114.88,151.56,25.56,30.24
49.5,175.06,21.35,34.48
83.34,151.4,32.07,21.41
4.67,17.81,37.71,13.76
12.75,13.93,31.83,25.52
214.19,225.44,37.04,11.02
136.05,155.97,16.76,38.12
25.88,182.37,48.74,4.91
0.2,137.71,37.62,35.01
66.92,67.76,48.43,3.64
39.69,40.59,42.72,29.95
63.38,236.26,19.21,27.64
176.86,190.26,49.74,31.32
20.37,54.87,11.08,3.84
43.64,104.92,18.49,29.7
8.55,32.54,26.94,13.63
65.08,122.98,12.95,0.91
22.77,60.61,20.49,13.81
44.6,76.47,22.43,4.54
10.49,126.33,34.37,38.58
153.48,179.02,30.64,33.59
23.32,29.02,19.91,13.35
75.25,134.8,49.69,31.07
23.66,34.75,26.55,38.05
1.27,158.19,26.19,28.12
7.38,43.68,33.98,9.07
34.57,63.98,32.56,39.25
108.9,222.65,20.8,3.99
23.05,120.68,11.4,20.71
63.03,93.31,16.88,5.1
19.89,20.28,34.46,2.4
68.91,73.93,39.72,16.37
12.62,15.07,38.22,2.78
111.35,128.91,36.63,17.12
222.03,239.64,49.05,38.39
139.96,187.27,14.25,29.35
173.82,197.62,26.13,6.67
80.71,132.59,49.11,25.98
9.85,44.59,46.01,20.48
45.17,122.52,18.85,1.97
6.94,154.05,26.84,19.56
105.42,226.6,19.49,22.63
14.73,81.59,15.2,23.57
20.61,29.21,28.12,37.39
29.24,234.08,43.45,17.11
108.9,226.83,21.59,36.47
6.72,15.14,35.72,15.97
5.6,125,42.35,18.12
161.68,166.01,42.64,17.06
74.74,75.05,48.83,16.19
5.74,18.05,26.07,24.39
116.09,181.46,35.72,24.66
53.09,69.72,30.79,17.35
229.76,233.13,46.69,30.32
9.13,40.96,45.35,25.02
7.2,48.79,12.64,17.43
47.93,108.49,21.23,28.14
184.61,217.33,32.05,2.97
109.12,149.86,25.8,0.34
48.07,202.07,18.01,24.58
14.57,47.5,14.08,10.55
21.18,189.28,43.39,17.82
94.19,119.46,34.56,36.55
51.15,52.46,10.39,32.19
44.69,52.87,45.37,0.09
127.19,196.71,36.52,29.22
3.88,23.78,45.85,37.85
87.27,177.25,27.9,0.09
33.74,126.76,31.02,34.75
13.6,198.3,11.07,26.6
22.93,206.16,10.03,23.57
144.66,239,47.16,0.02
2.08,44.53,22.23,10.19
16.57,21.43,46.68,35.25
1.3,79.14,40.39,22.98
2.75,12.98,31.25,13.49
11.88,62.88,40.61,16.17
50.64,124.39,15.58,19.91
48.27,194.34,23.44,38.26
110.83,208.28,41.84,4.81
76.85,135.28,27.44,1
110.81,217.72,17.1,10.73
80.7,192.21,36.41,24.41
120.27,176.28,32.73,10.66
59.33,232.51,31.25,33.33
113.54,176.52,20.28,36.94
100.09,190.81,12.37,13.81
123.86,186.16,47.9,21.44
106.34,149.84,28.11,15.33
107.67,143.05,36.79,5.91
52.21,97.46,30.52,15.64
130.71,234.16,11.88,34.45
60.75,218.87,39.25,7.29
60.64,133.88,17.91,18.45
212.9,223.48,34.52,36.53
36.57,179.39,40.74,31.4
44.91,140.8,29.47,36.7
34.9,98.96,11.99,21.74
119.8,126.39,49.58,2.8
87.98,119.9,47.74,27.96
38.24,56.4,11.52,5.35
79.21,183,47.14,21.66
5.93,23.04,45.62,1.22
152.15,176.22,33.63,12.35
133.74,158.09,42.2,7.28
195.55,199.25,42.37,39.06
116.32,239.56,43.81,22.43
2.52,54.61,31,27.67
92.68,179.77,48.13,9.13
80.9,94.52,42.39,9.34
150.36,177.83,34.04,5.5
16.09,111.73,18.38,12.08
33.45,90.13,28.99,28.31
176.95,238.2,48.29,16.11
197.4,231.65,20.13,0.64
219.58,238.3,28.27,36.28
102.98,129.87,31.45,9.47
21.94,48.57,33.35,0.74
52.91,164.79,46.46,10.83
32.34,145,20.27,15.79
88.89,163.48,38.56,21.29
18.24,55.35,15.29,10.52
202.61,245.69,21.21,32.12
37.11,160.07,16.73,13.82
20.51,223.87,21.73,20.84
154.39,244.62,34.75,37.69
25.76,168.58,24.73,6.53
28.16,178.33,26.84,3.54
35.59,40.33,45.22,34.89
126.24,246.48,12.56,0.69
35.69,224.41,49.21,32.38
157.65,194.46,11.91,13.76
30.32,212.78,24.59,15
47.08,81.89,30.59,3.45
128.92,242.41,19.24,27.02
21.36,63.97,31.31,30.19
22.87,81.79,47.49,32.61
29.58,54.78,11.28,26.13
125.88,241.6,45.35,31.29
17.19,23.29,33.82,25.2
66.92,136.48,42.96,11.51
11.1,92.79,34.51,24.96
83.66,229.29,45.48,0.94
44.54,249.09,18.69,17.84
0.33,21.68,22.5,4.92
13.4,15.21,19.23,4.02
35.9,235.26,33.87,30.45
105.84,232.91,12.15,32.46
56.73,64.79,48.02,30.01
13.27,154.55,35.03,27.26
215.32,240.18,15.24,15.09
110.07,210.07,48.06,28.64
26.08,196.87,23.74,31.68
2.53,155.79,36.75,2.73
33.01,101.92,34.52,5.92
119.42,166.01,43.36,0.29
3.43,90.63,36.34,25.63
36.7,154.13,45.57,35.23
136.76,216.5,23.02,31.87
22.2,27.02,13.01,6.95
2.62,26.38,17.47,5.87
5.96,185.77,49.58,37.69
7.5,52.44,41.24,15.15
11.42,41.19,47.8,8.25
162.71,195.63,33.04,18.6
179.58,183.24,28.78,26.11
168.4,198.97,22.27,27.97
42.84,116.45,20.25,6.44
25.02,41.37,46.11,18.66
1.36,68.54,30.64,35.43
106.92,109.34,13.86,14.52
6.31,34.59,24.06,0.86
34.21,112.16,11.86,4.5
88.55,125.22,36.51,26.97
54.38,73.54,39.13,2.24
44.74,105.75,43.1,25.94
8.55,19.65,31.22,33.92
116.81,248.48,22.59,34.88
4.81,51.65,35.34,19.14
67.75,80.03,17.71,9.16
83.14,180.3,31.77,4.41
27.98,88.15,26.46,15.01
40.92,62.21,31.25,4.36
45.79,87.29,30.88,6.73
188.68,203.34,16.55,4.77
46.05,105.75,40.84,21.99
70.98,136.94,35.49,12
1.09,88.33,14.89,34.01
33.68,151.84,12.22,33.08
4.85,14.69,25.93,37.81
3.56,40.37,11.19,18.26
99.52,178.66,27.01,31.84
6.4,51.07,40.79,8.56
118.41,236.07,26.34,33.96
10.17,42.77,27.85,32.64
109.52,130.15,10.67,0.03
13.8,73.7,32.65,3.41
42.59,92.41,11.53,31.92
88.95,140.67,20.95,21.58
29.62,209.38,12.65,5.43
30.78,222.39,47.72,12.97
13.72,222.17,43.45,8.5
22.26,141.46,16.68,2.25
58.93,227.27,28.34,1.4
12.41,30.86,45.11,35.44
7.28,52.96,11.11,2.14
26.84,37.12,20.25,27.15
5.6,51.59,38.86,7.58
10.96,12.05,44.64,34.25
54.5,109,46.77,13.99
37,112.2,13.75,39.03
16.23,52.25,29.03,19.76
181.79,239.45,14.37,3.29
66.16,105.37,17.26,30.8
15.07,77.67,46.41,5.78
45.01,66.24,48.2,3.23
26.14,58.39,17,24.08
55.27,176.75,11.91,10.63
173.44,243.43,35.17,18
14.03,47.89,21.89,8.86
62.77,151.95,25.81,22.24
8.86,29.94,49.57,19.91
7.77,12.24,37.02,28.3
2.25,72.07,26.33,18.2
23.41,141.39,30.53,2.5
84.01,226.08,24.12,12.53
107.97,202.72,19.48,27.61
8.4,126.19,48.66,0.61
192.09,194.86,47.33,6.98
7.31,28.87,37.27,23.01
91.3,99.6,17.6,10.3
36.91,134.45,21.74,16.53
74.82,98.25,27.68,21.86
92.45,181.6,11.9,17.74
61.12,225.89,39.36,21.49
214.15,249.91,30.14,23.77
38.04,64.95,28.49,31.3
73.67,181.83,26.73,3.36
124.02,241.5,17.52,20.88
53.51,84.19,25.13,9.95
106.03,162.09,10.51,24.86
73.36,173.3,27.31,26.61
5.15,18.07,30.91,5.3
50.21,233.55,37.47,8.28
71.2,137.52,13.51,22.03
128.63,209.89,28.78,39.45
153.12,175.48,45.04,39.71
49.34,245.41,33.61,11.21
110.16,221.77,16.72,32.34
97.42,223.3,40.75,30.96
121.17,195.52,14.19,14.19
32.03,105,28.34,31.63
11.85,77.46,17.04,13.47
20.31,153.16,28.25,14.89
145.14,237.95,22.81,14.93
111.91,210.14,45.01,8.22
29.9,36.09,33.62,9.25
92.41,181.47,33.41,4.76
83.13,83.65,30.95,14.16
17.81,20.88,37.93,35.52
93.33,173.24,28.75,11.74
13.85,32.83,38.76,9.41
41.42,71.52,45.65,39.28
86.45,139.27,44.61,12.79
23.88,36.29,36.36,21.91
102.35,115.49,48.04,6.84
83.06,228.01,12.22,3.05
41.42,71.08,31.44,5.3
13.46,120.02,31.05,9.98
38.8,180.17,25.86,33.12
231.01,235.66,10.43,1.52
52.12,66,43.7,13.8
15.26,105.69,29.29,0.48
132.13,209.89,33.08,7.63
7.01,10.8,29.79,15.25
36.82,47.52,13.61,37.35
17.77,33.83,31.83,31.47
68.41,157.48,14.62,34.11
110.28,225.61,11.64,8.85
3.39,46.65,10.34,24.83
79.07,122.81,37.56,13.47
11.08,35.89,30.17,4.45
4.13,71.95,38.69,20.53
37.28,179.39,39,27.04
16.3,124.38,32.92,19.52
38.8,50.34,33.03,24.92
0.89,24.49,49.79,36.93
16.73,59.73,16.21,38.88
155.07,241.53,14.23,11.71
98.22,192.8,31.45,24.36
28.01,64.21,26.9,35.41
99.46,108.02,37.56,39.24
43.37,100.21,34.5,37.52
149.62,191.82,29.58,30.52
80.82,137.82,46.92,19.02
135.75,159.89,32.78,32.23
10.15,38.47,29.18,18.57
154.53,177.08,26.52,12.17
93.14,191.47,36.47,27.6
95.27,119.12,38.83,21.37
205.09,229.38,44.14,25.84
35.4,72.16,36.43,9.99
98.91,214.85,41.52,5.45
2.71,203.99,28.43,21.93
0.39,95.14,29.1,10.68
115.29,116.84,17.57,4.04
11.49,53.03,18.43,24.22
11.68,15.02,21.95,6.02
45.07,176.69,46.11,5.61
52.12,77.69,15.76,36.2
26.9,63.59,43.56,32.03
87.6,118.38,38.81,15.93
97.74,101.33,21.5,20.27
8.45,30.71,14.31,38.6
147.71,220.59,14.63,32.06
22.73,28.49,49.66,14.62
95.91,219.59,32.26,17.54
0.14,157.3,34.05,27.43
0.51,100.6,10.65,29.95
1.89,14.46,11.93,5.1
56.37,104.28,41.68,38.46
11.13,72.62,44.73,26.46
76.98,95.49,36.16,27.7
5.15,23.44,25.23,2.15
25.24,201.63,17.48,22.96
71.06,123.01,32.96,4.3
32.09,145.63,47.29,5.22
24.89,115.51,11.22,23.31
47.33,58.49,49.38,16.15
7.01,49.25,11.62,8.87
127.92,171.06,36.57,32.18
4.56,59.13,20.27,25.56
95.61,98.36,38.26,30.49
140.86,226.79,36.94,11.13
142.67,164.72,22.87,7.46
134.22,225.64,14.97,4.09
180.31,190.82,48.13,7.1
0.55,109.7,22.14,21.51
29.95,56.97,28.59,5.6
118.56,212.73,18.27,25.03
7.48,92.18,22.95,35.55
41.87,247.47,25.06,38.71
140,215.06,21.28,31.85
39.85,44.37,19.59,37.12
119.9,155.52,17.03,33.36
39.14,45.91,34.67,30.87
106.71,190.59,17.16,22.72
23.35,37.18,12.21,15.97
49.75,206.6,15.96,26.41
7.86,26.1,16.03,10.76
36.01,239.46,10.83,28.72
8.28,14.82,46.75,2.99
128.21,146.8,14.26,10.81
33.77,58.8,15.77,26.79
34.36,43.34,38.83,19.52
61.7,76.44,38.32,32.94
18.46,103.55,13.51,4.12
141.47,171.85,27.72,19.98
212.48,219.65,19.64,36.51
228.72,245.35,30.43,13.58
18.78,175.64,26.57,20.15
46.87,75.8,48.4,19.61
43.91,249.95,36,8.03
31.94,56.33,49.2,24.65
32.29,249.8,19.7,1.99
60.05,71.38,47.87,26.37
35.09,40.34,30.96,10.36
73.07,196.84,25.14,31.63
110.13,116.23,14.91,1.02
20.3,59.56,24.9,19.86
52.82,66.03,46.16,7.9
14.31,109.94,25.75,26.57
88.21,226.84,47.1,32.67
58.38,107.67,48.92,37.77
1.05,99.3,27.81,16.44
0.71,166.76,36.68,22.06
24.16,225.41,19.78,32.08
17.88,22.47,21.06,10.09
32.62,235.59,27.31,27.92
15.62,30.93,17.15,11.48
158.14,179.15,37.09,8.11
97,245.24,42.43,12.18
78.56,111.52,44.12,27.84
84.86,230.19,42.42,27.33
0.63,21.21,46.82,16.85
134.38,183.56,23.81,38.13
14.77,25.81,22.22,7.44
29.79,47.58,43.94,31.08
111.99,159.02,44.38,14.43
113.82,149.15,37.88,35.07
66.84,75.98,21.72,17.97
53.39,63.18,48.24,32.28
72.61,165.64,47.12,35.51
54.54,187.24,49.06,30.56
159.25,201.4,14.97,14.87
76.23,153.44,29.16,23.1
12.92,35.6,18.29,29.53
21.54,126.48,46.15,38.33
150.99,181.47,20.63,17.6
78.33,209.62,17.85,20.25
197.33,213.51,12.74,34.78
122.32,175.81,19.99,18.21
62.78,222.87,45.68,0.39
85.73,89.52,38.53,22.89
34.57,140.61,22.79,14.42
4.08,119.58,23.27,21.26
166.27,174.17,37.07,33.88
62.5,188.11,25.45,27.98
1.3,13.7,24.86,5.69
10.75,17.3,38.73,7.17
65.63,209.83,48.86,33.73
34.24,101.59,30.01,36.6
4.33,26.94,14.27,29.22
78.3,198.21,18.2,29.74
14,23.38,32.67,23.74
22.76,25.14,18.74,28.59
194.51,200.36,28.78,32.9
41.11,229.64,36.39,3.6
9.74,29.16,10.75,20.41
89.81,179.78,36.11,2.24
46.85,107.72,11.47,25.27
1.55,31.37,20.98,10.24
135.59,205.26,30.9,14.24
112.31,172.86,40.73,32.08
15.57,27,30.29,8.36
98.21,209.8,11.97,17.43
66.76,188.94,38.31,36.32
13.44,46.73,13.28,39.73
71.21,154.7,25.46,35.54
162.65,177.18,27.26,27.78
32.32,46.45,25.99,23.85
118.4,133.9,14.5,21.75
64.46,89.48,11.67,27.35
11.75,121.35,40.99,23.78
124.92,221.68,18.78,24.63
10.1,52.85,32.42,11.56
166.61,249.98,40.3,36.21
142.12,173.06,10.54,5.45
227.24,240.16,28.13,24.02
25.02,115.73,17.75,23.59
162.81,221.42,31.36,26.34
108.83,213.52,45.83,13.86
107.79,190.78,29.31,6.26
35.61,62.11,32.23,0.64
18.59,64.9,15.11,2.89
172.26,209.29,24.92,2.31
61.4,183.49,35.74,31.74
160.73,166.08,33.89,15.97
46.56,48.64,34.67,6.15
17.84,17.95,15.57,36.02
2.27,18.32,27.12,35.84
68.59,122.13,27.76,9.12
62.87,132.59,20.09,30.65
67.65,79.98,43.73,11.85
26.36,144.19,38.41,32.4
11.01,11.14,39.11,31.84
104.31,163.87,41.11,33.87
58.95,165.63,15.68,34.41
19.73,126.01,27.72,28.23
152.28,204.4,14.85,35.55
167.17,208.85,34.01,35.02
13.82,76.79,19.36,2.34
132.61,193.19,20.61,5.72
128.06,203.57,24.33,0.13
17.6,75.15,43.65,13.12
78.78,209.41,10.74,30.63
36.61,210.95,25.25,30.91
152.01,163.06,16.74,31.86
63.09,100.15,17.2,35.04
26.28,119.78,32.79,15.74
61.49,70.24,44.21,35.18
113.12,220.06,13.37,37.32
102.2,144.69,47.15,12.45
29.35,53.79,16.27,8.3
47.85,75.61,30.73,29.34
65.59,168.34,23.48,15.3
13.31,31.91,49.14,0.29
9.81,75.55,37.37,8.25
143.72,228.17,39.52,17.3
201.98,229.62,11.99,1.1
66.3,102.6,41.41,35.59
74.83,217.77,18.24,13.79
11.1,27.57,11.44,1.05
2.5,82.43,32.83,15.16
36.71,59.72,30.83,31.43
25.96,88.36,15,21.91
206.84,209.69,11.9,2.52
141.48,169.56,43.04,24.19
3.5,116.75,45.25,27.03
122.03,184.05,26.7,38.34
108.4,113.2,17.6,22.92
123.81,247.69,46.04,10.2
36.39,83.11,15.94,6.64
73.43,231.84,10.21,26.95
9.57,33.51,25.29,0.84
48.27,87.9,34.71,38.61
28.99,177.88,39.75,32.02
126.22,184.3,11.66,14.47
26.49,118.89,17.31,2.06
44.5,100.84,12.2,22.37
153.63,182.34,34.62,18.1
126.29,191.81,43.47,0.36
6.94,156.94,11.09,37.78
61.27,233.17,35.53,14.12
158.31,213.46,10.61,2.16
1.86,15.3,23.86,33.25
132.48,138.33,42.93,10.01
17.13,21.93,25.97,26.33
38.01,173.98,22.19,2.92
63.41,121.51,28.69,9.67
11.77,23.76,22.93,38.38
9.53,135.89,23.59,32.12
25.18,230.99,22.39,36.29
216.78,248.98,45.94,20.46
82.13,213.47,16.58,26.44
10.02,64.71,24.69,32.18
62.81,140.31,41.29,18.89
88.72,176.65,49.17,11.06
2.65,168.48,21.57,19.72
20.88,27.61,33.08,28.27
39.72,162.09,16.78,9.26
43.3,67.17,41.51,8
101.95,181.72,20.36,12.26
156.71,239.01,22.78,17.82
44.37,144.42,34.36,0.35
109.94,207.71,36.2,26.52
95.69,141.79,18.24,3.3
9.57,66.84,14.78,13.65
44.1,217.34,14.38,28.35
53.68,139.12,16.3,38.45
158.98,168.42,35.87,34.05
3.25,15.64,38.86,31.91
27.11,64.57,20.6,37.69
13.9,213.98,33.84,36.06
31.08,96.75,17.71,34.64
45.14,55.67,31.31,24.99
0.08,233.8,27.86,19.33
67.48,240.6,15.56,24.66
16.81,51.84,48.92,17.43
10.27,249.63,13.89,6.37
22.6,204.02,19.36,33.75
149.5,202.11,24.28,12.55
16.67,102.86,17.91,4.02
10.56,16.45,47.84,7.59
22.44,170.54,34.36,29.77
4.96,46.9,29.38,31.16
5.55,95.53,28.46,39.58
15.1,145.67,35.94,6.3
98.03,122.78,12.36,17.46
188.68,239.36,39.65,12.87
48.77,52.31,31.7,25.7
147.86,210.53,44.39,1.92
127.66,225.06,32.16,8.03
59.88,173.28,23.52,17.9
10.41,17.92,23.21,17.11
55.97,106.25,35.64,18.93
47.19,152.85,16.99,8.15
13.97,120.43,21.31,21.24
100.23,139.54,22.12,38.96
75.92,93.72,24.7,18.36
168.63,185.95,38.52,13.99
205.43,231.93,12.95,14.96
5.36,29.51,46.82,4.16
98.3,149.11,43.66,34.11
37.89,217.19,38.27,38.18
72.97,201.43,17.8,4.84
12.25,187.49,36.29,30.46
2.03,45.13,18.07,36.09
39.63,246.63,14.73,3.92
19.44,65.43,11.17,2
9.51,19.67,39.76,3.8
62.23,192.66,11.08,29.84
156.02,208.47,19.24,32.06
135.67,156.38,42.09,15.07
49.92,58.99,25.97,32.79
129.32,216.26,34.18,10.56
43.43,53.34,10.45,12.33
143.78,219.42,13.23,33.03
26.12,26.96,21.65,5.42
116.94,136.6,29.87,21.99
82.5,211.92,49.83,5.94
68.92,103.37,26.78,23.93
16.59,188.51,36.13,34.83
204,214.17,25.88,18.74
26.79,34.55,44.57,19.82
44.46,96.87,26.86,37.55
15.5,55.23,12.86,28.13
15.76,121.07,45.69,15.84
76.93,143.97,49.02,28.59
32.68,198.11,38,17.36
110.1,248.4,15.62,0.02
61.58,69.69,47.89,36.98
43.93,67.38,38.57,12.84
68.47,102.94,28.95,29.83
123.73,125.29,32.54,27.81
30.2,54.9,12.62,36.48
144.41,195.24,33.85,39.38
1.63,31.95,22.95,27.35
151.81,171.9,39.01,25.13
0.4,10.23,21.28,21.57
124.6,146.21,28.24,10.75
38.4,67.66,25.1,10.06
171.76,225.49,17.4,30.33
200.5,222.77,33.84,7.38
40.93,74.87,45.34,15.82
16.6,26.15,17.05,17.35
43.3,106.28,12.46,6.94
17.07,25.4,34.84,10.51
141.73,204.3,22.89,17.85
35.03,55.76,19.88,4.34
12.11,146.24,45.3,9.5
13.98,70.12,28.17,2.55
125.15,126.18,42.1,27.45
210.04,232.93,24.53,13.98
9.54,234.57,39.96,16.02
86.58,230.66,13.87,3.45
107.18,199.31,20.49,17.15
115.76,158.85,27.17,24.79
15.09,131.18,47.96,37.66
59.83,191.5,19.84,21.07
114.01,213.01,33.6,9.83
77,99.7,15.57,27.63
7.29,28.41,13.03,29.81
37.03,49.61,25.91,26.78
41.27,176.79,28.53,26.54
35.52,75.35,14.48,21.04
38.53,111.87,34.45,0.77
15.23,36.4,38.68,22.56
48.18,70.1,10.3,8.71
47.79,115.37,36.73,6.75
7.92,122.08,36.2,17.49
179.08,180.8,28.95,20.48
126.03,190.42,27.51,7.63
59.1,86.45,43.22,9.51
6.62,90.59,40.86,36.44
112.96,169.16,42.37,36.07
119.61,213.49,10.7,38.2
69.99,158.43,24.21,7.4
99.72,237.33,12.5,18.7
36.16,46.54,42.91,6.66
95.4,205.68,20.71,19.3
9.83,47.99,21.6,19.34
34.94,115.89,12.98,16.17
29,60.29,41.06,22.98
162.16,219.16,40.1,28.35
35.41,39.14,49.57,35.71
72.66,209.61,29.49,7.36
13.15,86.49,47.14,2.94
44.91,226.7,34.01,9.53
75.33,130.51,12.95,22.35
18.67,37.2,15.67,37.19
160.65,248.51,25.09,30.21
12.4,62.86,16.61,28.99
32.14,211.08,44.12,1.38
27.87,94.14,22.69,16.62
32.2,114.05,29.89,13.65
40.73,63.18,23.76,21.65
158.15,246.36,22.9,11.89
141.92,149.69,21.24,14.77
21.28,57.67,22.35,7.47
80.18,103.63,36.25,2.4
46.26,97.56,22.06,11.01
55.01,221.12,42.87,34.05
233.9,249.96,28.5,11.38
11.51,190.02,24.11,37.94
48.11,231.68,38.86,17.77
0.6,231.02,31.61,32.26
54.69,74.87,12.2,39.93
21.06,118.63,39.22,36.5
15.26,149.92,28.2,12.72
145.98,186.22,24.22,1.79
147.95,195.06,49.95,34.49
121.71,215.05,45.83,1.93
113.53,237.56,44.82,33.29
40.35,100.77,40.44,15.7
38.2,222.94,28.95,3.46
54.66,61.93,17.97,25.04
22.02,149.79,46.68,33.38
124.37,144.9,48.04,25
158.52,212.16,32.87,8.93
49.32,51.86,12.88,22.87
152.65,221.87,13.89,0.29
136.91,223.22,36.72,30.42
192.77,201.73,17.15,14.11
129.67,170.92,30.07,1.19
27.57,32.04,16.42,34.4
23.69,49.74,16.82,29.28
21.33,47.62,38.42,2.58
148.03,205.33,42.02,11.04
114.84,235.61,47.6,9.2
10.55,34.9,37.54,29.61
59.87,145.44,41.29,32.21
22.06,74.97,30.71,24.96
21.35,27.15,36.87,3.02
7.98,138.93,20.79,26.66
63.85,118.37,29.04,26.2
38.65,94.51,22.07,39.76
53.2,72.27,33.91,3.89
114.55,127.25,19.87,12.31
52.74,99.13,20.36,8.42
164.53,178.13,29.16,17.85
139.43,149.56,41.57,17.58
47.04,73.16,29.93,15.46
21.48,24.96,41.74,11.86
2.92,182.93,14.02,17.48
68.46,130.04,49.58,9.16
16.22,182.5,39.36,34.75
37.16,52.75,38.98,28.87
148.94,207.38,42.7,29.19
73.33,143.54,17.42,19.97
83.28,174.08,10.83,8.33
63.38,91.5,25.38,18.95
56.72,167.57,37.52,21.96
18.31,47.29,33.01,1.12
125.1,239.21,46.67,11.34
27.47,64.4,45.57,5.61
69.13,216.42,19.7,10.18
13.58,61.98,43.33,26.5
175.77,210.55,21.92,0.89
52.35,172.79,33.97,16.11
5.48,20.03,24.56,39.08
4.86,45.24,12.62,39.78
35.75,60.29,38.36,29.1
144.48,237.64,30.42,23.08
34.06,42.88,19.34,8.46
111.6,195.82,27.34,12.41
47.92,77.37,14.65,8.27
35.94,37.69,32.7,29.46
106.06,147.62,48.93,30.29
6.99,111.19,31.23,3.67
50.05,60.81,49.83,39.61
10.1,19.69,23.13,37.56
66.53,66.84,15.32,38.69
88.61,212.57,38.56,1.37
90.07,119.52,26.13,24.84
85.79,133.45,46.62,34.17
73.7,82.68,10.71,34.43
95.24,103.86,20.78,32.24
58.24,84.32,49.3,22.94
4.67,138.17,23.81,14.29
127.04,210.15,41.28,0.69
156.85,206.68,47.57,3.72
14.09,216.81,13.7,37.84
73.25,140.03,19.88,24.21
74.05,102.94,49.99,20.86
90.27,124.91,47.88,4.29
12.83,20.46,44.43,24.04
80.92,104.49,29.12,17.15
13.97,209.29,35.61,23.04
13.66,138.4,41.71,39.95
9.09,38.81,39.25,8.39
70.38,215.7,12.56,25.35
53.83,58.59,34.16,25.04
38.53,103.28,45.42,35.74
23.29,41.35,29.86,18.06
42.92,110.61,18.47,12.58
48.4,193.98,42.54,30.28
3.45,19.13,26.68,35.72
5.04,68.32,18.64,3.25
180.04,235.25,30.7,8.79
77.39,137.75,22.86,14.26
70.79,80.49,12.34,13.74
61.87,124.01,33.34,13
226.32,236.7,26.86,39.44
203.47,248.66,45.82,34.12
192.03,202.81,47.86,19.8
118.16,158.73,41.46,0.82
64.19,79.96,35.01,27.69
80.47,111.17,22.51,18.19
67.07,71.93,19.11,28.75
56.64,83.96,18.57,23.03
18.87,44.01,17.65,8.76
16.41,153.36,31.97,35.89
190.39,245.63,29.26,36.87
156.89,168.17,25.3,15.03
195.64,246.29,21.12,21.97
13.64,118.1,46.69,8.49
9.08,28.61,19.11,28.14
60.89,62.04,19.64,29.21
70.41,76.04,49.89,24.38
7.35,30.83,19.97,34.73
99.65,224.76,11.96,8.61
184.02,209.88,33.75,13.65
66.19,185.72,49.2,6.47
67.18,114.92,49.9,12.39
8.99,12.52,30.66,33.82
24.86,237.73,45.61,35.83
6.33,14.34,23.09,18.63
88.28,136.39,45.64,16.82
54.36,183.11,29.15,2.71
78.85,105.95,27.72,16.42
48.48,65.07,29.18,11.24
36.32,127.28,16.48,1.56
1.22,64.77,33.31,21.87
4.43,13.56,38.17,11.2
45.88,61.69,13.95,27.35
20.84,222.62,27.21,3.04
72.7,75.86,27.36,16.65
133.72,162.4,46.09,16.85
2,139.74,14.19,35.4
163.85,186.57,39.02,34.29
70.24,247.37,47.3,4.5
0.4,133.85,36.94,33.78
16.21,180.03,28.52,21.35
17.66,37.5,15.78,36.32
110.41,229.52,27.74,39.7
55.18,181.85,28.65,2.62
66.51,142.41,40.13,0.25
32.56,72.04,41.77,27.87
58.91,137.72,31.8,6.19
58.95,162.04,47.93,27.35
47.56,129.92,25.2,9.88
97.96,185.05,26,13.62
